,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
0,219bcc37be49b67fb3aa75473007a38d64155c10,2015-10-09 11:03:35,33.4615716666667,-79.5612566666667,388.0,6303293.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20211/DSC_1075_bdbef369-74d9-44ee-b632-ef02fec09c97.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20211/DSC_1075_bdbef369-74d9-44ee-b632-ef02fec09c97.jpg
1,faca0680957f84d15d6aee6671e920e899544f80,2017-09-10 14:07:10,29.7763716666667,-95.628325,311.0,13315682.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_1731_064ad298-f5f8-43f3-8b26-323f6a2ed757.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_1731_064ad298-f5f8-43f3-8b26-323f6a2ed757.jpg
2,1541737684c43bbe74a19cb375cde2f5176d3b52,2015-10-08 16:39:56,33.6942366666667,-79.2565266666667,425.0,15454341.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2020_ec901820-fa08-4bfe-b393-ffce3b60b3cd.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2020_ec901820-fa08-4bfe-b393-ffce3b60b3cd.jpg
3,f07f88de4f1b4378b789fab824325dcd40e140f9,2015-10-09 14:56:47,33.0712066666667,-80.5300866666667,323.0,5009886.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20212/DSC_0380_21788f94-51c7-42fa-ae1b-494f4adee29d.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20212/DSC_0380_21788f94-51c7-42fa-ae1b-494f4adee29d.jpg
4,9b666ec6d363c6a9cce9026ec0abe46bb9fe69a1,2015-10-06 21:14:08,32.9597466666667,-80.294955,220.0,6148894.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1583_3eedb6bb-da5a-4e50-bcbe-765338370ef7.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20147/DSC_1583_3eedb6bb-da5a-4e50-bcbe-765338370ef7.jpg
5,25255b6068471685e7b91683f4f9f176e1832053,2015-10-07 10:31:13,32.8572316666667,-80.3788583333333,359.0,7364030.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20173/16-1-337_94a6ce2d-0cc7-4ab5-b524-e18984b261ac.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20173/16-1-337_94a6ce2d-0cc7-4ab5-b524-e18984b261ac.jpg
6,6e90ba71299532d03107f3aa06b6e4a4f0540cba,2015-10-12 15:27:30,33.4696033333333,-79.2561666666667,473.0,5057812.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0115_fbf93baa-3708-4486-9289-06e268a7033a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0115_fbf93baa-3708-4486-9289-06e268a7033a.jpg
7,33d9cf71aaa81c59a3bb5448a45201d811c2b0a4,2015-10-08 17:43:35,34.1303233333333,-79.517915,413.0,12805962.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2125_82c65941-36ee-4d46-9467-075814a9c97a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2125_82c65941-36ee-4d46-9467-075814a9c97a.jpg
8,fd66b838c32282d466e7c69e21f6af86ba9dc6fd,2015-10-08 13:06:04,33.4455466666667,-79.4679833333333,776.0,6291612.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20195/DSC_0746_924189b9-119c-4bd2-a8a3-a2c9d36e4be8.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20195/DSC_0746_924189b9-119c-4bd2-a8a3-a2c9d36e4be8.jpg
9,edaf1eb8f7573ee197452f924bc0774dfbd453a2,2015-10-08 17:30:19,33.3957966666667,-80.2623416666667,487.0,4392591.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20187/DSC_0289_49331b84-61c0-4398-b349-5b345bbdf630.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20187/DSC_0289_49331b84-61c0-4398-b349-5b345bbdf630.jpg
