url,infrastructure:bridge,infrastructure:building,infrastructure:none,infrastructure:road
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614024/A0067AP-_c31441d4-91cb-4ec5-b513-aa39ffe8ab13.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614088/A0074_V__3a9d5770-d513-44ce-9a7e-4b43ce1a7602.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/583576/DSC_2038_659fd757-3556-4e65-83c4-29efc408e59b.jpg,1,1,0,1
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-91_9c8c75e8-2317-47c1-8e22-60d18c8328c8.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9157/616220/DSC_8306_cfc8d17a-a1c5-4875-8657-934a5ab9a4d5.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9157/616220/DSC_7983_90be652f-19dc-4554-9824-ec2327fe68ca.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/615223/VIRB0172_c9910c76-5a46-48b6-a86b-06be4cbb7a8e.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615125/MarkBail_072d1a87-d92e-4937-8be9-7f60517951f9.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613802/1c8182bb-64ea-4699-9a23-b194b0b1b3f0.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9157/616220/DSC_7902_1561531f-5a1d-401e-b3e6-c7fc52271ca1.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613947/DSC_3484_26bff6c4-81a1-42c7-9fe3-740236867416.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614104/A0084_AP_d902da93-0aa3-4fc2-87e5-55510dd6329c.jpg,1,0,0,1
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615127/TimCooli_9f50708f-a007-4546-808d-63db7c8fe935.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613809/DSC_9156_e84ea5e5-4875-4c69-bcdb-7d208b3eefb8.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/583511/DSC_0008_e83bdf5f-a094-4bc2-b95e-72d3e80e945a.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614029/A0070_AP_3a5efedf-7e14-4f38-abf2-2e96c5fd2f45.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9161/616221/FEMA_REG_f1f2cc28-4bfd-40cd-9625-ab85cd8c38a1.jpg,1,1,0,0
