url,vehicle:boat,vehicle:car,vehicle:none,vehicle:truck
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-99_8518186b-27f1-45a3-9f3d-0755740305ed.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613900/DSC_6070_f0ac968d-4d75-4824-bf8e-242b93060ab3.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615133/DavidBen_fee30d3b-a39f-476a-9c31-b50fa7c1d1f1.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614030/A0101_AP_85d44012-77bb-4b43-aec6-3bcde2efe43a.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613892/020_0447_40b8569c-c4e3-4c83-8cf1-325a30d9692c.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9157/616220/DSC_8306_cfc8d17a-a1c5-4875-8657-934a5ab9a4d5.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615129/BrettGro_1f0f9a65-79ba-47b8-bb63-78cc1e179e54.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613807/DSC_0093_9a31bcbd-cedd-4f62-94a7-d96209f898cb.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/615426/DSC_0011_3b1c65cc-9457-4cfc-ae8a-bb1113610253.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3045/291551/DSC_4396_90eddc88-41cd-423e-a3e5-f447cc101998.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9157/616220/DSC_8007_7a8f5dbd-29ef-4507-9fd4-d2635e162c26.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615129/BrettGro_00622bdf-47cd-4105-b887-aa24df8dfe3c.jpg,1,0,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9096/615129/BrettGro_954f3f19-c382-4311-9862-586c505996ab.jpg,1,0,0,1
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614110/A0068_AP_ea5049c1-b7a3-4c90-b81d-f1a579d55d30.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9161/616227/FEMA_Reg_e9401989-cf72-455a-ad1b-31c459a14bfd.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613795/DSC_6938_3969e813-0824-4290-8abe-f7fb8b33a7ab.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/615223/VIRB0077_949521e5-cdce-4bc2-8684-da0867efd27a.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613543/DSC_0875_b24c1527-4d18-4a2a-8e67-645987e67290.jpg,1,1,0,0
https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/5/583534/DSC_5741_bb68d661-78fc-4958-a131-d63173a7ac4a.jpg,1,1,0,0
